,Position,ø-Age,Market value in million
0,Goalkeeper,23.67,47.2
1,Defender,24.36,156.0
2,midfield,25.21,227.0
3,Attack,23.75,101.0
4,Total:,24.43,531.0
5,Goalkeeper,23.67,47.2
6,Defender,24.36,156.0
7,midfield,25.21,227.0
8,Attack,23.75,101.0
9,Total:,24.43,531.0
10,Goalkeeper,25.0,48.7
11,Defender,22.65,133.0
12,midfield,24.46,131.0
13,Attack,22.75,126.0
14,Total:,23.52,439.0
15,Goalkeeper,27.0,32.5
16,Defender,23.38,122.0
17,midfield,25.73,108.0
18,Attack,25.27,241.0
19,Total:,24.88,505.0
